X1 lower, X1 upper, X3 lower, X3 upper, Result, Total Time, DNN Time, Num Branches, Num Flowpipes
-0.525150, -0.525100, 0.300000, 2.000000, SAFE, 44678.864491, 23394.414062, 2, 1694
-0.527550, -0.527500, 0.300000, 2.000000, SAFE, 44776.126536, 23666.849609, 1, 1693
-0.526800, -0.526750, 0.300000, 2.000000, SAFE, 44648.928142, 23403.960938, 2, 1694
-0.526700, -0.526650, 0.300000, 2.000000, SAFE, 44579.050189, 23406.406250, 2, 1694
-0.526550, -0.526500, 0.300000, 2.000000, SAFE, 44944.882810, 23450.849609, 2, 1694
-0.526950, -0.526900, 0.300000, 2.000000, SAFE, 44569.924978, 23399.316406, 2, 1694
-0.525200, -0.525150, 0.300000, 2.000000, SAFE, 44615.986331, 23464.384766, 2, 1694
-0.527450, -0.527400, 0.300000, 2.000000, SAFE, 44545.315556, 23402.494141, 1, 1693
-0.527950, -0.527900, 0.300000, 2.000000, SAFE, 44503.213870, 23259.623047, 1, 1693
-0.526150, -0.526100, 0.300000, 2.000000, SAFE, 44655.965426, 23495.085938, 2, 1694
-0.528000, -0.527950, 0.300000, 2.000000, SAFE, 44770.720256, 23454.580078, 1, 1693
-0.525400, -0.525350, 0.300000, 2.000000, SAFE, 44663.126392, 23463.482422, 2, 1694
-0.525500, -0.525450, 0.300000, 2.000000, SAFE, 44590.314070, 23470.699219, 2, 1694
-0.546400, -0.546350, 0.300000, 2.000000, SAFE, 45536.276935, 23825.300781, 2, 1713
-0.546250, -0.546200, 0.300000, 2.000000, SAFE, 45393.379960, 23911.798828, 2, 1713
-0.546300, -0.546250, 0.300000, 2.000000, SAFE, 45367.047182, 23777.646484, 2, 1713
-0.546350, -0.546300, 0.300000, 2.000000, SAFE, 45251.059934, 23876.929688, 2, 1713
-0.546450, -0.546400, 0.300000, 2.000000, SAFE, 45464.280720, 23977.326172, 2, 1713
-0.546150, -0.546100, 0.300000, 2.000000, SAFE, 45630.548076, 24064.039062, 2, 1713
-0.546500, -0.546450, 0.300000, 2.000000, SAFE, 45408.001337, 23726.625000, 2, 1713
-0.546200, -0.546150, 0.300000, 2.000000, SAFE, 45583.051382, 23952.277344, 2, 1713
-0.547500, -0.547450, 0.300000, 2.000000, SAFE, 45529.900092, 23904.457031, 2, 1713
-0.547450, -0.547400, 0.300000, 2.000000, SAFE, 45315.241434, 23653.794922, 2, 1713
-0.545650, -0.545600, 0.300000, 2.000000, SAFE, 45413.341141, 23782.119141, 2, 1713
-0.545700, -0.545650, 0.300000, 2.000000, SAFE, 45575.013409, 23839.236328, 2, 1713
